rvno	rno	note
186	870	 스타일링 결과가 예쁘게 나와서 기분이 최고로 좋아졌어요
187	892	 예약을 변경하는 것이 편리했어요
188	895	 Wonderful
189	903	 분위기가 활기차고 생기 넘쳤어요
190	905	 스타일링 결과가 예상 이상이었어요
191	906	 미용실이 청결하고 깨끗해서 마음이 편안했어요
192	910	 예약을 변경하는 것이 쉬웠고 편리했어요
193	917	 Cleanliness
194	927	 예약을 변경하는 것이 쉬웠어요
195	933	 분위기가 모두를 편안하게 해줬어요
196	934	 스타일링 결과가 일상 생활에 딱 맞았어요
197	943	  미용실 내부가 청결하고 깔끔해서 기분 좋았어요
198	945	 예약을 변경하는 것이 불편하지 않았어요
199	946	 스타일링 제품이 효과적이었어요
200	947	 분위기가 활기차고 에너지 넘쳤어요
201	948	 스타일링 결과가 예쁘게 나와서 기분이 좋아졌어요
202	951	 미용사님이 정확하게 내가 원하는 스타일을 이해해 주셨어요
203	954	  전반적으로 좋은 경험이었어요
204	956	 스타일링 결과에 감동했습니다
205	958	 스타일링 결과가 내 취향에 딱 맞았어요
206	963	 Exceptional
